,Title,Label,Type,Price,Location,Baths,Area,Purpose,Bedroom(s),Added,Description,Main Features,Rooms,Business and Communication,Healthcare Recreational,Nearby Locations and Other Facilities,Other Facilities,Popular,Source,Time Stamp
1083,House For Sale In Ghouri Town Phase 4A,"Ghauri Town Phase 4, Ghauri Town, Islamabad, Islamabad Capital",House,PKR   77 Lakh,"Ghauri Town, Islamabad, Islamabad Capital",3,5 Marla,For Sale,3,3 days ago,"Peaceful Location In Ghauri town Phase 4A. Solid construction and Beautiful Finishing 1,5 STORY houseExcellent Woodwork Quality Fittings And Stylish kitchensNear to Masjid and Commercial. If You Want To Live In An Environment Which Is Absolutely Secured And Peaceful Then It Is The Right Time And The Right Place To Invest Your Money. Grab This Auspicious Opportunity To Execute Your Dreams Into Reality. Features of House> 1 Independent portions (also suitable for renting out)> 3 Spacious bedrooms with Attached Washrooms> 1 Stylish kitchens> 1 Luxury Drawing rooms with Attached Washrooms> Entrance lobby with stairs> Parking space for 1 car> 30 Feet Wide Street> Near To Masjid and Commercial> Near to Schools Hospitals Shopping Malls Restaurants and Public Transport> Security & Maintenance Staff. We Also Have Different Verities", , , , , , ,hot,Islamabad-3-44,3/31/2019 23:58
1084,511 SQ YD BEAUTIFUL HOUSE FOR SALE IN F114,"F-11/4, F-11, Islamabad, Islamabad Capital",House,PKR   6.5 Crore,"F-11, Islamabad, Islamabad Capital",4,1 Kanal,For Sale,4,5 days ago,ITS BASICALLY DOUBLE UNIT HOUSE4 BED ROOMS4 BATH ROOMS2 TV LAUNCHESD. DITALIAN KITCHENSTORE ROOMSERVANT QUARTERFRONT BACK TERRACEHUGE CAR PARKINGMAR GALA FACING HOUSEGREEN LUSH LAWNFOR FURTHER DETAILS CONTACT US. . ., , , , , , ,hot,Islamabad-3-44,3/31/2019 23:58
1085,511 SQ YD BEAUTIFUL HOUSE FOR SALE IN F101,"F-10/1, F-10, Islamabad, Islamabad Capital",House,PKR   7 Crore,"F-10, Islamabad, Islamabad Capital",4,1 Kanal,For Sale,4,5 days ago,ITS BASICALLY DOUBLE UNIT HOUSE4 BED ROOMS4 BATH ROOMS2 TV LAUNCHESD. DITALIAN KITCHENSTORE ROOMSERVANT QUARTERFRONT BACK TERRACEHUGE CAR PARKINGMAR GALA FACING HOUSEGREEN LUSH LAWNFOR FURTHER DETAILS CONTACT US. . ., , , , , , ,hot,Islamabad-3-44,3/31/2019 23:58
1086,4. 5 Marla Triple Storey House Available For Sale Paris City Block F Sector H-13 Islamabad,"H-13, Islamabad, Islamabad Capital",House,PKR   85 Lakh,"H-13, Islamabad, Islamabad Capital",5,4.5 Marla,For Sale,5,1 week ago,"4. 5 Marla Triple Storey House Available For Sale Paris City Block-f Sector H-13 IslamabadReasonable Price. Please Feel Free To Call If You Need Further Details About It. I Request That Only Serious Individuals Contact To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling. Twin Cities Real Estate Developers & Builders", , , , , , ,hot,Islamabad-3-44,3/31/2019 23:58
1087,8 Marla House Main Boulevard  Cornr House For Sale In Sector A,"DHA Homes, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",House,PKR   90 Lakh,"DHA Defence, Islamabad, Islamabad Capital",3,8 Marla,For Sale,3,1 week ago,8 Marla House Main Boulevard + Cornr House For Sale In Sector A !!!!!House Details !!!!SIZE: 30*60BLOCK : LILLY sector AAll charges paidpossession Already 4 lac paid Cornr 10 % charges 4 lac paid& Main Boulevard Charges 4 lac paid PRICE: 90 LACCONTACT US FOR MORE DETAILS, , , , , , ,hot,Islamabad-3-44,3/31/2019 23:58
1088,G 92 25x50 barnd new house for sale,"G-9/2, G-9, Islamabad, Islamabad Capital",House,PKR   2.5 Crore,"G-9, Islamabad, Islamabad Capital",5,5 Marla,For Sale,5,2 weeks ago,G 9/2 25x50 brand new house 5 bed with attach bath d/d 2 kitch car paking ideal location, , , , , , ,hot,Islamabad-3-44,3/31/2019 23:58
1089,G 104 25x50 brand new house tripple story house for sale,"G-10/4, G-10, Islamabad, Islamabad Capital",House,PKR   2.4 Crore,"G-10, Islamabad, Islamabad Capital",-,5 Marla,For Sale,-,2 weeks ago,G 10/4 25x50  tripple stroy house  6 bed with attach bath3d/d 3 kitch   extra land open basment, , , , , , ,hot,Islamabad-3-44,3/31/2019 23:58
1090,House For Sale At 800 Sq Yards Margalla View With Excellent Condition,"E-7, Islamabad, Islamabad Capital",House,PKR   18 Crore,"E-7, Islamabad, Islamabad Capital",8,1.6 Kanal,For Sale,8,2 weeks ago,"Luxury House Available For Sale 800 square yards ""60 X 120"". E-7 located on most serene and posh location of Islamabad, artistically designed and modern construction, 2 separated Gates with 2 Garage, 8 bedrooms with exquisite 8 bathrooms, huge living and dining, 2 kitchens, living and dining, laundry, big lawn, parking sufficient to accommodate 7 to 8 vehicles inside, from terrace lovely view of Margalla Hills, outside is jogging and running track, possession of the house is also available if someone wants to live himself, Price Rs. 180 million (can be negotiable). Prime Location. Reasonable Price. For More Details Please Contact Us.", , , , , , ,hot,Islamabad-3-44,3/31/2019 23:58
1091,Amazing Kanal House For Sale In Multi E11,"E-11/3, E-11, Islamabad, Islamabad Capital",House,PKR   7.4 Crore,"E-11, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,6,3 weeks ago,"A Brilliant Location in E-11/3 Multi Society Brand new Luxury House for Sale. The House Boasts Excellent Design And Also Features Facilities That Guarantee A Comfortable, Convenient Lifestyle. We Recommend You Book An Appointment Asap To Visit The Location:At Very Peaceful Location In E-11/3 Totally Tiled & Wooden Flooring. Having: -6 Bedrooms. -7 Bath rooms-2 Kitchen -2 Drawing -2 Dinning. -2 TV Lounge -2 Storm Room-1 Servant Quarter-2 gate -Beautiful Lawn-Tiled & Wooden flooring-WATER BORE -big Car parking-Full Secure - Security 24/7For further details contact: ", , , , , , ,hot,Islamabad-3-44,3/31/2019 23:58
1092,F104 500 sq yard house for sale,"F-10/4, F-10, Islamabad, Islamabad Capital",House,PKR   11.5 Crore,"F-10, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,7,3 weeks ago,F10/4 500 sq yard house 7 bed 7 bath 2 kitchen  brand new house 2 gate buetifull house sun face, , , , , , ,hot,Islamabad-3-44,3/31/2019 23:58
1093,5 marla Single story house for sale phase 5A Ghauri Town Islamabad,"Ghauri Town, Islamabad, Islamabad Capital",House,PKR   65 Lakh,"Ghauri Town, Islamabad, Islamabad Capital",4,5 Marla,For Sale,3,1 week ago,"5 marla Single story house for sale phase 5A Ghauri Town Islamabad - 43Ground Floor:2 bed, 3 bath, dd, tvl, Kitchen, Car porchFirst Floor:1 bed, 1 bath, big mumty, open spaceNearby School, Hospitals, Shoping Centre , Public TransportElectricity, water and gas every facility availableWe have also other houses 3, 4, 5, 7, 10 marla Single and double story houses according to your budget and requirementWe also deal in rental houses and sale purchase of residential and Commercial plotsWe ensure your secure and profitable investment and best living opportunityPlease feel free to contact for further detailsMuhammad FayyazHamdaan AssociatesAfridi PlazaGhauri Town phase 5, Islamabad"," Built in year: 2016 , Parking Spaces , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 3 , Bathrooms: 4 , Servant Quarters , Drawing Room , Dining Room , Kitchens , Study Room , Prayer Room , Store Rooms , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service", Security Staff,,Islamabad-3-44,3/31/2019 23:58
1094,5 marla Single story house for sale phase 5A Ghauri Town Islamabad,"Ghauri Town, Islamabad, Islamabad Capital",House,PKR   65 Lakh,"Ghauri Town, Islamabad, Islamabad Capital",3,5 Marla,For Sale,2,1 week ago,"5 marla Single story house for sale phase 5A Ghauri Town Islamabad - 422 bed, 3 bath, dd, tvl, Kitchen, Car porch, small mumty at top,  Beauritful houseNearby School, Hospitals, Shoping Centre , Public TransportElectricity, supply water available, gas meter is not yet installedPrice is almost final We have also other houses 3, 4, 5, 7, 10 marla Single and double story houses according to your budget and requirementWe also deal in rental houses and sale purchase of residential and Commercial plotsWe ensure your secure and profitable investment and best living opportunityPlease feel free to contact for further detailsMuhammad FayyazHamdaan AssociatesAfridi PlazaGhauri Town phase 5, Islamabad"," Built in year: 2017 , Parking Spaces , Double Glazed Windows , Flooring , Electricity Backup , Waste Disposal , Floors: 1"," Bedrooms: 2 , Bathrooms: 3 , Servant Quarters , Drawing Room , Dining Room , Kitchens , Study Room , Prayer Room , Store Rooms , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready", ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service", Security Staff,,Islamabad-3-44,3/31/2019 23:58
1095,BEAUTIFUL 7 MARLA HOUSE CORNER EXTRA LAND G13 EXCELLENT CONSTRUCTION EXCELLENT LOCATION 70ft ROAD,"G-13, Islamabad, Islamabad Capital",House,PKR   3.1 Crore,"G-13, Islamabad, Islamabad Capital",7,7 Marla,For Sale,5,1 week ago,BEAUTIFUL HOUSE CORNER IN G13 EXCELLENT CONSTRUCTION EXCELLENT LOCATION 70ft ROAD WITH EXCELLENT WOOD WORK IMPORTED TILE FLOORING LEVER SHOWER SETS 2 big car parking in porch 5 bed room with attach bathDouble kitchen Double t. v lounge Double drawing roomTares Mumty attach bathFor more information contact. Faheem khan," Built in year , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features , Furnished"," Bedrooms: 5 , Bathrooms: 7 , Servant Quarters , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Gym , Store Rooms , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities", Other Healthcare and Recreation Facilities," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",,Islamabad-3-44,3/31/2019 23:58
1096,1 Kanal Brand New House For Sale in DHA 2,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4 Crore,"DHA Defence, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,7,1 week ago,Vip Properties Offer:-- 6 bedrooms- 6 Washroom- Near to Commercial Areas- Near to hospitals- Near to School- Near to park- Very Reasonable Price For more information Please Contact us," Built in year: 20108 , Parking Spaces: 2 , Flooring , Electricity Backup"," Bedrooms: 7 , Bathrooms: 7 , Servant Quarters: 2 , Kitchens: 1", , ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places", ,,Islamabad-3-44,3/31/2019 23:58
1097,25x40 Brand new House for sale,"G-13/1, G-13, Islamabad, Islamabad Capital",House,PKR   1.6 Crore,"G-13, Islamabad, Islamabad Capital",4,4 Marla,For Sale,4,1 week ago,25x40 (4 marla) Brand new luxure house for sale near by Kashmir haighwav good location for sale," Built in year: 2019 , Parking Spaces: 1 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Floors: 2 , Other Main Features"," Bedrooms: 4 , Bathrooms: 5 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms", , , , ,,Islamabad-3-44,3/31/2019 23:58
1098,1 Kanal Brand New House For Sale in DHA 2,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4 Crore,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,1 week ago,Vip Properties Offer:-- 6 bedrooms- 6 Washroom- Near to Commercial Areas- Near to hospitals- Near to School- Near to park- Very Reasonable Price For more information Please Contact us," Built in year: 2018 , Parking Spaces: 2"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 2 , Kitchens: 1", , ," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places", ,,Islamabad-3-44,3/31/2019 23:58
1099,E-11/1 Multi Brand New Designer Quality House For Sale,"E-11/1, E-11, Islamabad, Islamabad Capital",House,PKR   4.25 Crore,"E-11, Islamabad, Islamabad Capital",5,12 Marla,For Sale,5,1 week ago,"E-11/1 Multi Brand New Designer Quality House For Sale, Prime Location , On 60 Feet Road , Excellent Quality Diyar Wood Work, 6Bed, Servant, Modern Kitchen , Spacious Dd Like 500 Sq Yard, High Quality Fittings And Fixture, Size 35x80 Demand 4. 25 Only. Ideal Location. Reasonable Price. It Is Sure To Be A Profitable Deal For Any Genuine Client. For More Information Please call now!"," Parking Spaces: 3 , Floors: 2"," Bedrooms: 5 , Bathrooms: 5 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Store Rooms: 1 , Lounge or Sitting Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden, , ,,Islamabad-3-44,3/31/2019 23:58
1100,E-11/3 500 Sq Yard  Double Storey Corner 5 Bed  Brand New House For Sale,"E-11/3, E-11, Islamabad, Islamabad Capital",House,PKR   8.25 Crore,"E-11, Islamabad, Islamabad Capital",5,1 Kanal,For Sale,5,1 week ago,"E-11/3 500 Sq Yard  Double Storey Corner 5 Bed  Brand New House At Nice Elite Locality. Designer Quality House, Top Of The Line Fittings And Fixtures, Soothing Imported Lights Etc. Must See Before You Buy A House. Reasonable Demand, Just 8. 25 Crore. Please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling.", Parking Spaces: 3," Bedrooms: 5 , Bathrooms: 5 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden, , ,,Islamabad-3-44,3/31/2019 23:58
1101,HOUSE FOR SALE GHOURI TOWN PH4A,"Ghauri Town Phase 4, Ghauri Town, Islamabad, Islamabad Capital",House,PKR   97 Lakh,"Ghauri Town, Islamabad, Islamabad Capital",5,5 Marla,For Sale,4,3 weeks ago,4 PBeds with Attached Washroom 5 Marla Double Storey Newly Constructed House At A eaceful Location In Ghauri town Phase 4. Solid construction and Beautiful FinishingExcellent Woodwork Quality Fittings And Stylish kitchensNear to Masjid and Commercial. If You Want To Live In An Environment Which Is Absolutely Secured And Peaceful Then It Is The Right Time And The Right Place To Invest Your Money. Grab This Auspicious Opportunity To Execute Your Dreams Into Reality. Features of House> 2 Independent portions (also suitable for renting out)> 4 Spacious bedrooms with Attached Washrooms> 2 Stylish kitchens> 2 Luxury Drawing rooms with Attached Washrooms> Entrance lobby with stairs> Parking space for 1 car> 30 Feet Wide Street> Near To Masjid and Commercial> Near to Schools Hospitals Shopping Malls Restaurants and Public Transport> Security & Maintenance Staff. We Also Have Different Verities, , , , , , ,hot,Islamabad-3-45,3/31/2019 23:58
1102,DHA HOMES DHA valley islamabad,"DHA Valley - Lilly Block, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",House,PKR   34 Lakh,"DHA Defence, Islamabad, Islamabad Capital",2,5 Marla,For Sale,2,3 weeks ago,"5 marla single story Residential,s House is available for sale in sector lilly DHA Valley Islamabad. 2 bed,s with Attach Bath,s Beautifull Kitchen 1 TV Lounch Dining Hall 1 Car Parking space. it,s all dues cleargolden time investment in DHA Islamabad. for more confirm information,s and detials please contact Authrosied Agent. NISAR HUSSAIN", , , , , , ,hot,Islamabad-3-45,3/31/2019 23:58
1103,f11 double story with basement (twins),"F-11, Islamabad, Islamabad Capital",House,PKR   8.75 Crore,"F-11, Islamabad, Islamabad Capital",-,1.3 Kanal,For Sale,-,3 weeks ago,F11 60x100 corner fully marble wooden each side has 4bed drawing dining tvlounge kitchen basement hall servant lawn corner best location reasonable price, , , , , , ,hot,Islamabad-3-45,3/31/2019 23:58
1104,prime location house brand new,"Soan Garden - Block H, Soan Garden, Islamabad, Islamabad Capital",House,PKR   1.2 Crore,"Soan Garden, Islamabad, Islamabad Capital",6,6.7 Marla,For Sale,4,3 weeks ago,Prime Location HouseDouble Story House For SaleNear To MarketTrusted ConstructionWalking Distance From Islamabad HighwayHaving 4 Bed 6 BathSize 30*502 Kitchen2 Drawing Dining Room 2 T. v LoungeAll Facilities AvailableSeparate Stair. For More Information Please Call Us., , , , , , ,hot,Islamabad-3-45,3/31/2019 23:58
1105,House for sale in G131 size 25X40 islamabad,"G-13/1, G-13, Islamabad, Islamabad Capital",House,PKR   1.6 Crore,"G-13, Islamabad, Islamabad Capital",5,4 Marla,For Sale,5,3 weeks ago,House for sale in G-13/1 size 25X40 islamabadTwin Cities Real Estate Developers & Builders Golra Road H-13 IslamabadAmeer Khan, , , , , , ,hot,Islamabad-3-45,3/31/2019 23:58
1106,Brand New Corner House For Sale,"CBR Town Phase 1, CBR Town, Islamabad, Islamabad Capital",House,PKR   2.6 Crore,"CBR Town, Islamabad, Islamabad Capital",8,12 Marla,For Sale,6,4 weeks ago,"Brand New 40x80 Corner House For Sale In Cbr Town Phase 1 IslamabadNear Mosque, Market, Park and Water Filtration PlantHouse is situated at prime location. 6 Bedrooms With Attached Baths2 Beautifully Designed Modren Kitchens2 Tv Lounges2 Drawing Rooms2 Dining Rooms6 Cars Parking SpaceSolid wood Doors5 Minutes Away From Pwd Commercial And Bahria TownGrab This Auspicious Opportunity To Execute Your Dreams Into Reality. Please Feel Free To Call Us If You Need Further Details About It. Please Do Not Forget To Mention Zameen. com  When Calling.", , , , , , ,hot,Islamabad-3-45,3/31/2019 23:58
1107,10 marla brand new house for sale,"Soan Garden - Block B, Soan Garden, Islamabad, Islamabad Capital",House,PKR   1.6 Crore,"Soan Garden, Islamabad, Islamabad Capital",6,9.3 Marla,For Sale,5,4 weeks ago,Prime Location HouseDouble Story House For SaleNear To MarketTrusted ConstructionWalking Distance From Islamabad HighwayHaving 5 Bed 6 BathSize 30*702 Kitchen2 Drawing Dining Room 2 T. v LoungeAll Facilities AvailableSeparate Stair. For More Information Please Call Us., , , , , , ,hot,Islamabad-3-45,3/31/2019 23:58
1108,House For Sale In G-15 Islamabad,"G-15, Islamabad, Islamabad Capital",House,PKR   1.9 Crore,"G-15, Islamabad, Islamabad Capital",4,7 Marla,For Sale,4,4 weeks ago,"House for sale G-15 IslamabadBrand new houseIdeal HouseNaer To MarkazSize 30x60Demand 19,000,0004 bedrooms4 bathrooms2 TV launch2 drawing rooms1 Servant Room2 KitchenAll facilities availableWater Electricity GasFor more details contact me ", , , , , , ,hot,Islamabad-3-45,3/31/2019 23:58
1109,F-10 - 500 Sq Yards House For Sale,"F-10, Islamabad, Islamabad Capital",House,PKR   7.8 Crore,"F-10, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,4 hours ago,"F-10 - 500 Sq Yards House For Sale    Servant Quarter, Liveable Condition, Main LocationIdeal Location For LivingNear To Park, Mosque And Market, Renovated Washrooms And Kitchen, Urgent For Sale Reasonable Price More Detail Please Contact"," Built in year: 2008 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Flooring , Electricity Backup , Waste Disposal , Floors: 2"," Bedrooms: 6 , Bathrooms: 6 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service"," Maintenance Staff , Security Staff , Facilities for Disabled",hot,Islamabad-3-45,3/31/2019 23:58
1110,One Kanal brand new owner build house,"DHA Phase 2 - Sector B, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   4.85 Crore,"DHA Defence, Islamabad, Islamabad Capital",5,1 Kanal,For Sale,5,6 hours ago,Aitemaad property offer One Kanal brand owner build house in dha 2 sec B solid construction and fitting according to modern demand from front allivation to top each and every thing is rare price is specifically very Rea back to main jinnah Blvd for genuine buyer pl contact," Built in year: 2019 , Parking Spaces: 2 , Flooring , Waste Disposal , Floors: 2"," Bedrooms: 5 , Bathrooms: 5 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Powder Room  , Store Rooms: 1 , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Other Business and Communication Facilities", Lawn or Garden," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants", ,hot,Islamabad-3-45,3/31/2019 23:58
1111,Dha Valley Islamabad,"DHA Homes, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",House,PKR   35 Lakh,"DHA Defence, Islamabad, Islamabad Capital",2,5 Marla,For Sale,2,8 hours ago,"Sale and Purchase in Dha Valley IslamabadDha HomesReady for possessionBalloted and non ballotedAll dues clearNo transfer feeNo extra chargesDear valued clients we are offering you a golden chance of having your own home in the heart of Dha Islamabad. Dha Homes are beautifully designed Homes providing you a way of international standard of life style in neat and clean and fully secured place in the capital territory of Pakistan. Pioneers in the art of master-planned communities DHA Islamabad have designed the beautiful landscaped DHA Homes,Located adjacent to DHA Phase II Extension at DHA Islamabad. There is feeling of comfort and societal security encompassed within gated boundaries of community that is vibrant and secure in every sense of the living needs. DHA Homes are the coveted new address that offers you the incredible opportunity to live the lifestyle you’ve dreamed about for so many years. Each home comes with high quality fixtures and finishes. So why are you waiting for!Highlights & Attraction* Suitable Location* Reasonable Price* High-Profit Potential* Ideal To Own Or Invest* Master-planned Gated Community* World Class Infrastructure* Schools,International Standard Hospital,Mosque,Commercial Centers. For countless investment stay updated with us: Farhana Zahid"," Built in year: 2016 , Parking Spaces: 02 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 02 , Other Main Features"," Bedrooms: 02 , Bathrooms: 02 , Servant Quarters: 00 , Drawing Room , Dining Room , Kitchens: 01 , Store Rooms: 01 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-45,3/31/2019 23:58
1112,House on sale on Margalla Road F7 Islamabad,"F-7/2, F-7, Islamabad, Islamabad Capital",House,PKR   50 Crore,"F-7, Islamabad, Islamabad Capital",10,4 Kanal,For Sale,11,8 hours ago,"A renovated house on Margalla Road, rented to diplomats on USD 18000/month is for sale, back side is open with CDA land."," Built in year: 2000 , Parking Spaces: 20 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 3 , Furnished"," Bedrooms , Bathrooms , Servant Quarters: 4 , Drawing Room , Dining Room , Kitchens , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms , Steam Room , Lounge or Sitting Room , Laundry Room"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities", Lawn or Garden, Distance From Airport (kms), ,hot,Islamabad-3-45,3/31/2019 23:58
1113,10 Marla Beautiful Located And Designed House For Sale In Sector J DHA ll Islamabad,"DHA Phase 2 - Sector J, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   2.4 Crore,"DHA Defence, Islamabad, Islamabad Capital",4,10 Marla,For Sale,3,9 hours ago,"Al-Rayyan Real Estate & Builders is working in DHA, Bahria Town, CDA, Pwd, NPF, Korang, CBR, Gulrez, & other societies in Islamabad. We are offering our specialities to provide you with your desired living at your aspired society in Islamabad. On offer is a beautiful house for rent purpose:This House offers:4 BedroomAttached Baths1 Drawing Dinning2 Tv Lounges2 KitchensServant Quarter With BathWide CarQuality InteriorsSolid ConstructionExcellent ConditionDHA Islamabad is a master-planned community with beautiful landscapes, easy to navigate roads, tree-lined avenues, stylish architectural homes, vibrant art scenes and down to earth charm. It is located adjacent to Bahria Town & with in 15min drive to Islamabad International Airport."," Built in year: 20184 , Parking Spaces: 2 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 4 , Bathrooms: 5 , Servant Quarters: 1 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-45,3/31/2019 23:58
1114,1 Kanal Fabulous Designer House For Sale In Sector J DHA ll Islamabad,"DHA Phase 2 - Sector J, DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",House,PKR   3.8 Crore,"DHA Defence, Islamabad, Islamabad Capital",7,1 Kanal,For Sale,6,9 hours ago,"Al-Rayyan Real Estate & Builders is working in DHA, Bahria Town, CDA, Pwd, NPF, Korang, CBR, Gulrez, & other societies in Islamabad. We are offering our specialities to provide you with your desired living at your aspired society in Islamabad. On offer is a beautiful house for sale purpose:This House offers:6 BedroomAttached Baths1 Drawing Dinning2 Tv Lounges2 Kitchens2 Servant Quarter With BathQuality InteriorsSolid ConstructionExcellent ConditionDHA Islamabad is a master-planned community with beautiful landscapes, easy to navigate roads, tree-lined avenues, stylish architectural homes, vibrant art scenes and down to earth charm. It is located adjacent to Bahria Town & with in 15min drive to Islamabad International Airport. Regards,Al Reyyan Real Estate & Buildera"," Built in year: 2019 , Parking Spaces: 3 , Double Glazed Windows , Central Air Conditioning , Central Heating , Flooring , Electricity Backup , Waste Disposal , Floors: 2 , Other Main Features"," Bedrooms: 6 , Bathrooms: 7 , Servant Quarters: 2 , Drawing Room , Dining Room , Kitchens: 2 , Study Room , Prayer Room , Powder Room  , Gym , Store Rooms: 1 , Steam Room , Lounge or Sitting Room , Laundry Room , Other Rooms"," Broadband Internet Access , Satellite or Cable TV Ready , Intercom , Other Business and Communication Facilities"," Lawn or Garden , Swimming Pool , Sauna , Jacuzzi , Other Healthcare and Recreation Facilities"," Nearby Schools , Nearby Hospitals , Nearby Shopping Malls , Nearby Restaurants , Distance From Airport (kms) , Nearby Public Transport Service , Other Nearby Places"," Maintenance Staff , Security Staff , Facilities for Disabled , Other Facilities",hot,Islamabad-3-45,3/31/2019 23:58
